school_slug,school_name,level,subdomain
abbot,Abbot Elementary,Elementary,https://abbot.a2schools.org
allen,Allen Elementary,Elementary,https://allen.a2schools.org
angell,Angell Elementary,Elementary,https://angell.a2schools.org
bach,Bach Elementary,Elementary,https://bach.a2schools.org
bryant,Bryant Elementary,Elementary,https://bryant.a2schools.org
burnspark,Burns Park Elementary,Elementary,https://burnspark.a2schools.org
carpenter,Carpenter Elementary,Elementary,https://carpenter.a2schools.org
dicken,Dicken Elementary,Elementary,https://dicken.a2schools.org
eberwhite,Eberwhite Elementary,Elementary,https://eberwhite.a2schools.org
haisley,Haisley Elementary,Elementary,https://haisley.a2schools.org
king,King Elementary,Elementary,https://king.a2schools.org
lakewood,Lakewood Elementary,Elementary,https://lakewood.a2schools.org
lawton,Lawton Elementary,Elementary,https://lawton.a2schools.org
logan,Logan Elementary,Elementary,https://logan.a2schools.org
mitchell,Mitchell Elementary,Elementary,https://mitchell.a2schools.org
pattengill,Pattengill Elementary,Elementary,https://pattengill.a2schools.org
pittsfield,Pittsfield Elementary,Elementary,https://pittsfield.a2schools.org
thurston,Thurston Elementary,Elementary,https://thurston.a2schools.org
wines,Wines Elementary,Elementary,https://wines.a2schools.org
a2steam,Ann Arbor STEAM,K-8,https://a2steam.a2schools.org
aaopen,Ann Arbor Open School,K-8,https://aaopen.a2schools.org
clague,Clague Middle School,Middle,https://clague.a2schools.org
forsythe,Forsythe Middle School,Middle,https://forsythe.a2schools.org
scarlett,Scarlett Middle School,Middle,https://scarlett.a2schools.org
slauson,Slauson Middle School,Middle,https://slauson.a2schools.org
tappan,Tappan Middle School,Middle,https://tappan.a2schools.org
huron,Huron High School,High,https://huron.a2schools.org
pioneer,Pioneer High School,High,https://pioneer.a2schools.org
skyline,Skyline High School,High,https://skyline.a2schools.org
community,Community High School,High,https://community.a2schools.org
pathways,Pathways to Success Academic Campus,Alternative,https://pathways.a2schools.org
