year_window,end_year,tract_vintage,tracts_matched,total_pop,total_pop_moe,age_0_4,age_0_4_moe,age_5_17,age_5_17_moe,age_5_9,age_5_9_moe,age_10_14,age_10_14_moe,age_15_17,age_15_17_moe,pct_5_17_of_total,pct_0_4_of_total
2005-2009,2009,2010,54,160316,4353,7981,634,19840,1027,7397,602,7625,578,4818,598,12.4,5.0
2006-2010,2010,2010,54,160897,3826,7514,650,20387,1056,7597,635,7590,605,5200,589,12.7,4.7
2007-2011,2011,2010,54,160852,2611,7239,569,20681,958,7852,591,7491,560,5338,505,12.9,4.5
2008-2012,2012,2010,54,161360,2162,7129,498,20237,816,7372,490,7524,502,5341,417,12.5,4.4
2009-2013,2013,2010,54,162199,2179,7372,521,20352,822,7854,521,7223,488,5274,408,12.5,4.5
2010-2014,2014,2010,54,163319,2330,7520,525,20025,811,7344,490,7506,496,5175,414,12.3,4.6
2011-2015,2015,2010,54,164071,2046,7731,509,19632,778,7085,458,7581,502,4965,379,12.0,4.7
2012-2016,2016,2010,54,165819,2149,7760,513,19323,777,7290,473,7469,501,4565,359,11.7,4.7
2013-2017,2017,2010,54,167125,2157,7505,488,18988,779,7352,482,7195,492,4440,364,11.4,4.5
2014-2018,2018,2010,54,169186,2201,7137,481,19097,765,7251,466,7437,488,4409,361,11.3,4.2
2015-2019,2019,2010,54,169601,2301,7087,488,18789,765,7048,460,7259,490,4481,365,11.1,4.2
2016-2020,2020,2020,56,169844,3393,7065,549,18389,842,6827,520,7109,537,4453,387,10.8,4.2
2017-2021,2021,2020,56,172534,3523,7257,570,19146,865,6923,530,7504,543,4719,416,11.1,4.2
2018-2022,2022,2020,56,171465,3332,7173,564,18174,860,6438,519,7292,549,4444,410,10.6,4.2
2019-2023,2023,2020,56,170243,3538,7032,569,18609,893,6384,521,7852,589,4374,424,10.9,4.1
2020-2024,2024,2020,56,171139,3546,6965,568,18249,895,6536,531,7671,585,4042,420,10.7,4.1
