year_window,GEOID,age_band,estimate,moe,weighted_estimate,weighted_moe,pct_in,tract_name
2005-2009,26161400100,total,996,169,996.0,169.0,100.0,Census Tract 4001
2005-2009,26161400100,0-4,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4001
2005-2009,26161400100,5-9,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4001
2005-2009,26161400100,10-14,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4001
2005-2009,26161400100,15-17,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4001
2005-2009,26161400200,total,8365,2283,8365.0,2283.0,100.0,Census Tract 4002
2005-2009,26161400200,0-4,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4002
2005-2009,26161400200,5-9,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4002
2005-2009,26161400200,10-14,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4002
2005-2009,26161400200,15-17,393,251.18120948828957,393.0,251.2,100.0,Census Tract 4002
2005-2009,26161400300,total,5826,968,5826.0,968.0,100.0,Census Tract 4003
2005-2009,26161400300,0-4,47,33.28663395418648,47.0,33.3,100.0,Census Tract 4003
2005-2009,26161400300,5-9,8,109.65856099730655,8.0,109.7,100.0,Census Tract 4003
2005-2009,26161400300,10-14,44,114.48143954370944,44.0,114.5,100.0,Census Tract 4003
2005-2009,26161400300,15-17,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4003
2005-2009,26161400400,total,2925,392,2925.0,392.0,100.0,Census Tract 4004
2005-2009,26161400400,0-4,188,65.76473218982953,188.0,65.8,100.0,Census Tract 4004
2005-2009,26161400400,5-9,101,41.23105625617661,101.0,41.2,100.0,Census Tract 4004
2005-2009,26161400400,10-14,186,69.8927750200262,186.0,69.9,100.0,Census Tract 4004
2005-2009,26161400400,15-17,66,39.84971769034255,66.0,39.8,100.0,Census Tract 4004
2005-2009,26161400500,total,8390,1007,8390.0,1007.0,100.0,Census Tract 4005
2005-2009,26161400500,0-4,5,109.22453936730518,5.0,109.2,100.0,Census Tract 4005
2005-2009,26161400500,5-9,8,7.810249675906654,8.0,7.8,100.0,Census Tract 4005
2005-2009,26161400500,10-14,9,7.810249675906654,9.0,7.8,100.0,Census Tract 4005
2005-2009,26161400500,15-17,36,123.94353553130554,36.0,123.9,100.0,Census Tract 4005
2005-2009,26161400600,total,3937,405,3937.0,405.0,100.0,Census Tract 4006
2005-2009,26161400600,0-4,180,74.33034373659252,180.0,74.3,100.0,Census Tract 4006
2005-2009,26161400600,5-9,140,61.07372593840987,140.0,61.1,100.0,Census Tract 4006
2005-2009,26161400600,10-14,133,69.42621983083912,133.0,69.4,100.0,Census Tract 4006
2005-2009,26161400600,15-17,101,68.8839603971781,101.0,68.9,100.0,Census Tract 4006
2005-2009,26161400700,total,2090,250,2090.0,250.0,100.0,Census Tract 4007
2005-2009,26161400700,0-4,81,45.34313619501854,81.0,45.3,100.0,Census Tract 4007
2005-2009,26161400700,5-9,56,38.28837943815329,56.0,38.3,100.0,Census Tract 4007
2005-2009,26161400700,10-14,80,42.638011210655684,80.0,42.6,100.0,Census Tract 4007
2005-2009,26161400700,15-17,55,41.593268686170845,55.0,41.6,100.0,Census Tract 4007
2005-2009,26161400800,total,2512,608,2512.0,608.0,100.0,Census Tract 4008
2005-2009,26161400800,0-4,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4008
2005-2009,26161400800,5-9,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4008
2005-2009,26161400800,10-14,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4008
2005-2009,26161400800,15-17,0,154.14927829866735,0.0,154.1,100.0,Census Tract 4008
2005-2009,26161402100,total,2915,351,2915.0,351.0,100.0,Census Tract 4021
