GEOID,TRACTCE,NAMELSAD,pct_in,cover_of_aaps
26161406000,406000,Census Tract 4060,100.0,14.93
26161407000,407000,Census Tract 4070,34.3,10.77
26161453000,453000,Census Tract 4530,71.4,7.02
26161425000,425000,Census Tract 4250,40.7,6.13
26161456000,456000,Census Tract 4560,100.0,5.48
26161415400,415400,Census Tract 4154,70.1,4.0
26161466000,466000,Census Tract 4660,15.0,3.89
26161455000,455000,Census Tract 4550,37.1,3.25
26161461000,461000,Census Tract 4610,9.3,3.21
26161405300,405300,Census Tract 4053,100.0,2.88
26161464000,464000,Census Tract 4640,5.3,1.74
26161402300,402300,Census Tract 4023,100.0,1.64
26161403100,403100,Census Tract 4031,100.0,1.57
26161403300,403300,Census Tract 4033,100.0,1.47
26161404500,404500,Census Tract 4045,100.0,1.41
26161404600,404600,Census Tract 4046,100.0,1.36
26161403600,403600,Census Tract 4036,100.0,1.34
26161403800,403800,Census Tract 4038,100.0,1.31
26161416200,416200,Census Tract 4162,17.9,1.31
26161416000,416000,Census Tract 4160,100.0,1.29
26161403200,403200,Census Tract 4032,100.0,1.26
26161402700,402700,Census Tract 4027,100.0,1.23
26161414900,414900,Census Tract 4149,100.0,1.22
26161405200,405200,Census Tract 4052,100.0,1.19
26161414500,414500,Census Tract 4145,100.0,1.1
26161405600,405600,Census Tract 4056,100.0,0.93
26161415800,415800,Census Tract 4158,38.8,0.86
26161404300,404300,Census Tract 4043,100.0,0.85
26161405500,405500,Census Tract 4055,100.0,0.85
26161414700,414700,Census Tract 4147,100.0,0.84
26161980200,980200,Census Tract 9802,73.3,0.83
26161402601,402601,Census Tract 4026.01,100.0,0.82
26161402201,402201,Census Tract 4022.01,100.0,0.74
26161415200,415200,Census Tract 4152,100.0,0.7
26161400600,400600,Census Tract 4006,100.0,0.65
26161402100,402100,Census Tract 4021,100.0,0.62
26161405400,405400,Census Tract 4054,100.0,0.62
26161405100,405100,Census Tract 4051,100.0,0.62
26161404100,404100,Census Tract 4041,100.0,0.61
26161414300,414300,Census Tract 4143,100.0,0.58
26161414200,414200,Census Tract 4142,100.0,0.55
26161403400,403400,Census Tract 4034,100.0,0.55
26161403500,403500,Census Tract 4035,100.0,0.54
26161404400,404400,Census Tract 4044,100.0,0.53
26161414000,414000,Census Tract 4140,100.0,0.52
26161402500,402500,Census Tract 4025,100.0,0.47
26161400700,400700,Census Tract 4007,100.0,0.4
26161980400,980400,Census Tract 9804,100.0,0.39
26161426002,426002,Census Tract 4260.02,2.1,0.38
26161400400,400400,Census Tract 4004,100.0,0.38
26161400500,400500,Census Tract 4005,100.0,0.37
26161980102,980102,Census Tract 9801.02,100.0,0.36
26161404200,404200,Census Tract 4042,100.0,0.35
26161980101,980101,Census Tract 9801.01,100.0,0.27
26161454001,454001,Census Tract 4540.01,3.6,0.26
26161400300,400300,Census Tract 4003,100.0,0.23
26161400800,400800,Census Tract 4008,100.0,0.17
26161400100,400100,Census Tract 4001,100.0,0.15
26161410500,410500,Census Tract 4105,0.0,0.0
26161410400,410400,Census Tract 4104,0.0,0.0
26161415600,415600,Census Tract 4156,0.0,0.0
26161413403,413403,Census Tract 4134.03,0.0,0.0
26161410100,410100,Census Tract 4101,0.0,0.0
